"North American Cruises,  January 1, 2004 - March 31, 2012",,,,,,,,,,,
Cruise Line,Vessel Name,Sail Date,Departure Port,Destination,Nights,Passengers,Normal Capacity,Month,Quarter,Year,Passengers Nights
Carnival Cruise Line,CARNIVAL IMAGINATION,1/1/2004,Miami,Western Caribbean,4,"2,449","2,052",1,1,2004,"9,796"
Royal Caribbean International,ENCHANTMENT OF THE SEAS,1/1/2004,Fort Lauderdale,Western Caribbean,4,"2,262","2,250",1,1,2004,"9,048"
Carnival Cruise Line,CARNIVAL FANTASY,1/1/2004,Port Canaveral,Bahamas,3,"2,636","2,052",1,1,2004,"7,908"
Carnival Cruise Line,CARNIVAL SENSATION,1/1/2004,Tampa,Western Caribbean,4,"2,483","2,052",1,1,2004,"9,932"
Celebrity Cruise Line,CELEBRITY GALAXY,1/2/2004,San Juan,Southern Caribbean,7,"1,644","1,870",1,1,2004,"11,508"
Royal Caribbean International,MAJESTY OF THE SEAS,1/2/2004,Miami,Bahamas,3,"2,570","2,354",1,1,2004,"7,710"
Carnival Cruise Line,CARNIVAL SPIRIT,1/2/2004,Miami,Southern Caribbean,8,"2,324","2,124",1,1,2004,"18,592"
Carnival Cruise Line,CARNIVAL ECSTASY,1/2/2004,Long Beach,Mexico (Pacific),3,"2,474","2,052",1,1,2004,"7,422"
Carnival Cruise Line,CARNIVAL FASCINATION,1/2/2004,Miami,Bahamas,3,"2,484","2,052",1,1,2004,"7,452"
Princess Cruises,CORAL PRINCESS,1/2/2004,Fort Lauderdale,Western Caribbean,10,"1,982","1,974",1,1,2004,"19,820"
Oceania Cruises,REGATTA,1/2/2004,Miami,Trans-Panama Canal,14,521,684,1,1,2004,"7,294"
Celebrity Cruise Line,CELEBRITY SUMMIT,1/2/2004,Fort Lauderdale      ,Southern Caribbean,10,"2,049","1,950",1,1,2004,"20,490"
Royal Caribbean International,SOVEREIGN OF THE SEAS,1/2/2004,Port Canaveral ,Bahamas,3,"2,596","2,276",1,1,2004,"7,788"
Royal Caribbean International,MONARCH OF THE SEAS,1/2/2004,Los Angeles,Mexico (Pacific),3,"2,690","2,354",1,1,2004,"8,070"
