Customer City,Customer Name
"",
ABBEVILLE,COASTAL CHEMICAL CO LLC
ABBOTSFORD,NEOVA TECHNOLOGIES
ABERDEEN,AXIALL LLC
ABERDEEN,OCEAN SPRAY CRANBERRIES INC
ABERDEEN,REG GRAYS HARBOR
ABILENE,CITY OF ABILENE
ABSECON,STOCKTON UNIVERSITY
ACTON,HAARTZ CORPORATION
ACTON,PSYCHEMEDICS
ADA,ACCESS BUSINESS GROUP LLC
ADA,ALTICOR CORPORATION
ADA,OHIO NORTHERN UNIVERSITY
ADDISON,OXYVINYLS LP LAPORTE VCM
ADDISON,"PAXXUS, INC."
ADDISON,SIMPSON STRONG-TIE
ADRIAN,ERVIN AMASTEEL
ADRIAN,WACKER CHEMICAL CORPORATION
AGAWAM,EUROFIN SPECTRUM ANALYTICAL
AGAWAM,SPECTRUM ANALYTICAL
AGUADILLA,ELI LILLY AND COMPANY
AGUADILLA,HEWLETT PACKARD PUERTO RICO
AGUADILLA,MILLERCOORS LLC PUERTO RICO
AIKEN,AVARA AIKEN PHARMACEUTICAL SERVICES
AIKEN,SAVANNAH RIVER NUCLEAR SOLUTIONS LL
AIKEN,WASHINGTON NUCLEAR FUEL
AKRON,AKROCHEM CORP
AKRON,AKRON RUBBER DEVELOPMENT LAB
AKRON,BRIDGESTONE FIRESTONE INC
AKRON,CITY OF AKRON MUNICIPAL BLDG
AKRON,GOJO INDUSTRIES INC
AKRON,REPUBLIC STEEL
AKRON,SMITHERS RAPRA
AKRON,UNIVERSITY OF AKRON
ALABASTER,AVANTI POLAR LIPIDS
ALACHUA,AVEKSHAN LLC
ALAMEDA,ALLERGY RESEARCH GROUP
ALAMEDA,AQUA METALS INC
ALAMEDA,US NAVY
ALAMOSA,US BUREAU OF RECLAMATION
ALBANY,ADIRONDACK ENVIRONMENTAL
ALBANY,ALBANY COLLEGE OF PHARMACY
ALBANY,ALBANY COUNTY SHERIFF
ALBANY,ALBANY MOLECULAR RESEARCH INC (AMRI
ALBANY,CHA TECH SERVICES
ALBANY,J LEEK ASSOCIATES INC
ALBANY,NEW YORK DORMITORY AUTHORITY
ALBANY,NEW YORK STATE AGRICULTURE & MKTS.
ALBANY,NEW YORK STATE DEPT OF HEALTH
ALBANY,NEW YORK STATE DEPT OF TRANSPORTATI
ALBANY,QUINTARA
ALBANY,SASCO CHEMICAL GROUP INC
ALBANY,SUNY AT ALBANY  (HQ)
ALBUQUERQUE,BERNALILLO COUNTY WATER UTILITIES
ALBUQUERQUE,CARDINAL HEALTH
ALBUQUERQUE,CENTRAL NEW MEXICO COMMUNITY COLLEG
ALBUQUERQUE,"EXAGEN DIAGNOSTICS, INC"
ALBUQUERQUE,INDUSTRIAL WATER ENGINEERING INC
ALBUQUERQUE,LOVELACE RESPIRATORY RESEARCH INST
ALBUQUERQUE,M STEVE SHACKLEY
ALBUQUERQUE,MATERION ADVANCE MATERIAL
ALBUQUERQUE,OSO BIOPHARMACEUTICALS MANUFACTURIN
ALBUQUERQUE,PHARMACIA
ALBUQUERQUE,SANDIA NATIONAL LABORATORIES
ALBUQUERQUE,STATE OF NEW MEXICO
ALBUQUERQUE,THERMO EBERLINE -
ALBUQUERQUE,UNIVERSITY OF NEW MEXICO
ALBUQUERQUE,VA COOPERATIVE STUDIES
ALDEN,UNITED PMR INC
ALEXANDRIA,NAVAL SUPPLY CENTER
ALEXANDRIA,NOVA RESEARCH INC
ALEXANDRIA,THOMAS JEFFERSON HS FOR SCI & TECH
ALEXANDRIA,US ARMY CORPS OF ENGINEERS
ALFRED,ALFRED STATE COLLEGE - SUNY
ALISO VIEJO,METAGENICS INC
ALISO VIEJO,VALEANT PHARMACEUTICAL INT'L
ALLEGAN,PERRIGO COMPANY (HQ)
ALLENDALE,"PIM BRANDS, LLC"
ALLENTOWN,AIR PRODUCTS & CHEMICALS INC 
ALLENTOWN,CEDAR CREST COLLEGE
ALLENTOWN,LEHIGH VALLEY HOSPTIAL
ALLIANCE,UNIVERSITY OF MOUNT UNION
ALLOY,WVA MANUFACTURING LLC
ALORTON,SOLVAY FLUORIDES LLC
ALPENA,LAFARGE CORPORATION
ALPENA,"NEXT LEVEL AG, LLC"
ALPHARETTA,ALLNEX USA INC
ALPHARETTA,"ANDRITZ, INC"
ALPHARETTA,ARCH WOOD PROTECTION
ALPHARETTA,CHEMENCE MEDICAL PRODUCTS INC
ALPINE,SUL ROSS STATE UNIVERSITY
ALSIP,GC MANUFACTURING AMERICA LLC
ALSIP,GRIFFITH FOODS INC
ALTAMONTE SPRINGS,FLOWERS CHEMICAL LABORATORIES INC
ALTON,ALTON STEEL INC
ALTOONA,FAIRWAY LABORATORIES INC
AMARILLO,B&W PANTEX
AMARILLO,BABCOCK & WILCOX (BWXT PANTEX LLC)
AMARILLO,SERVI TECH INC
AMARILLO,TEXAS A&M UNIVERSITY
AMASA,WHITE WATER ASSOCIATES INC
AMERICAN FORK,IBC ADVANCED TECH
AMES,AMERICAN PROTEIN CORP (APC)
AMES,DANFOSS POWER SOLUTIONS
AMES,IOWA STATE UNIVERSITY
AMES,REG LIFE SCIENCES LLC
AMHERST,AMHERST COLLEGE
AMHERST,UNIV OF MASSACHUSETTS - AMHERST
AMITE,BRADKEN
AMITY HARBOR,"TOPIDERM, INC."
AMITYVILLE,HI-TECH PHARMACAL CO INC
AMMENDALE,US DEPT OF THE TREASURY
ANAHEIM,MERICAL INC
ANAHEIM,THIN FILM DEVICES
ANAHEIM,TOM BLACK SERVICE CENTER (3P)
ANCHORAGE,ALASKA DEPT OF FISH & GAME
ANCHORAGE,CHUGACH FEDERAL SERVICES INC
ANCHORAGE,CONOCO PHILLIPS ALASKA INC
ANCHORAGE,TECK ALASKA INCORPORATED
ANDERSON,ANDERSON COUNTY FORENSICS LAB
ANDERSON,ELECTROLUX HOME PRODUCTS
ANDERSON,ROBERT BOSCH LLC
ANDERSON,TILE COUNCIL OF NORTH AMERICA INC
ANDERSONVILLE,IMERYS REFRACTORY MINERALS USA INC
