Year,Quarter,Homicides,Suspicious Deaths,Missing U.S. National,Kidnapping,Assault with serious bodily injury,Firing or tampering with vessel,"Theft > $10,000",Sexual Assault,Total Incidents
2016,Q1,0,0,0,0,0,0,1,1,2
2016,Q2,0,0,0,0,0,0,0,2,2
2016,Q3,0,0,0,0,0,0,1,0,1
2016,Q4,0,0,0,0,0,0,0,0,0
2017,Q1,0,0,0,0,0,0,1,0,1
2017,Q2,0,0,0,0,0,0,0,0,0
2017,Q3,0,0,0,0,0,0,0,0,0
2017,Q4,0,1,0,0,0,0,0,1,0
2018,Q1,0,0,0,0,0,0,0,0,0
2018,Q2,0,0,0,0,0,0,0,2,2
2018,Q3,0,0,0,0,0,0,1,0,1
2018,Q4,0,0,0,0,0,0,0,3,3
2019,Q1,0,0,0,0,0,0,0,0,0
2019,Q2,0,0,0,0,0,0,0,0,0
