Year,Quarter,Homicides,Suspicious Deaths,Missing U.S. National,Kidnapping,Assault with serious bodily injury,Firing or tampering with vessel,"Theft > $10,000",Sexual Assault,Total Incidents
2015,Q1,0,0,0,0,0,0,1,2,3
2015,Q2,0,0,0,0,0,0,0,1,1
2015,Q3,0,0,0,0,0,0,1,1,2
2015,Q4,0,0,0,0,0,0,1,0,0
2016,Q1,0,0,1,0,1,0,1,2,5
2016,Q2,0,0,2,0,1,0,1,9,13
2016,Q3,0,1,0,0,0,0,0,2,3
2016,Q4,0,0,1,0,0,0,0,2,3
2017,Q1,0,0,0,1,1,0,3,6,11
2017,Q2,0,0,0,1,0,0,1,5,7
2017,Q3,0,0,0,0,0,0,1,5,6
2017,Q4,0,0,0,0,0,0,0,1,0
2018,Q1,0,1,0,0,1,0,1,4,7
2018,Q2,0,0,1,0,0,0,1,7,9
2018,Q3,0,0,0,0,0,0,0,3,3
2018,Q4,0,0,0,0,0,0,2,6,8
2019,Q1,0,0,0,0,0,0,1,8,9
2019,Q2,0,0,0,0,0,0,1,9,10
