Quarter,Year,Revenue (Millions)
2,2019,"$4,838"
1,2019,"$4,673"
4,2018,"$4,456"
3,2018,"$5,836"
2,2018,"$4,357"
1,2018,"$4,232"
4,2017,"$4,259"
3,2017,"$5,515"
2,2017,"$3,945"
1,2017,"$3,791"
4,2016,"$3,936"
3,2016,"$5,097"
2,2016,"$3,705"
1,2016,"$3,651"
4,2015,"$3,710"
3,2015,"$4,883"
2,2015,"$3,590"
1,2015,"$3,531"
4,2014,"$3,719"
3,2014,"$4,947"
2,2014,"$3,633"
1,2014,"$3,585"
4,2013,"$3,658"
3,2013,"$4,726"
2,2013,"$3,479"
1,2013,"$3,593"
4,2012,"$3,578"
3,2012,"$4,684"
2,2012,"$3,538"
1,2012,"$3,582"
4,2011,"$3,696"
3,2011,"$5,058"
2,2011,"$3,620"
1,2011,"$3,419"
4,2010,"$3,497"
3,2010,"$4,527"
2,2010,"$3,267"
1,2010,"$3,178"
4,2009,"$3,509"
3,2009,"$4,139"
2,2009,"$2,948"
1,2009,"$2,864"
4,2008,"$3,603"
3,2008,"$4,814"
2,2008,"$3,378"
1,2008,"$3,152"
4,2007,"$3,124"
3,2007,"$4,321"
2,2007,"$2,900"
1,2007,"$2,688"
4,2006,"$2,809"
3,2006,"$3,905"
2,2006,"$2,662"
1,2006,"$2,463"
4,2005,"$2,575"
3,2005,"$3,607"
2,2005,"$2,516"
1,2005,"$2,396"
