Commodity_Group ,Commodity_Name ,Measure_Names,Mode ,Port_Border,Port_Coast,Port_District,Port_Name,Port_State  ,Select_Date,Trade_Type,Year_of_Trade,No.,Measure_Values,Partner
All,All,Shipment Weight (in kilograms),All,Northern Border Ports,Continental,Anchorage Customs District ,All,All,January,Export,2019,1,0,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Northern Border Ports,Continental,Anchorage Customs District ,All,All,January,Export,2019,1,306353,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Northern Border Ports,Pacific,Anchorage Customs District ,All,All,January,Export,2019,2,5553774,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Northern Border Ports,Pacific,Anchorage Customs District ,All,All,January,Export,2019,2,18835972,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Pacific,Anchorage Customs District ,All,All,January,Export,2019,3,0,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Pacific,Anchorage Customs District ,All,All,January,Export,2019,3,421678,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Atlantic,Baltimore Customs District ,All,All,January,Export,2019,4,5101659,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Atlantic,Baltimore Customs District ,All,All,January,Export,2019,4,62915015,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Atlantic,Boston Customs District ,All,All,January,Export,2019,5,63908,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Atlantic,Boston Customs District ,All,All,January,Export,2019,5,22382217,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Northern Border Ports,Great Lakes,Buffalo Customs District ,All,All,January,Export,2019,6,338482104,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Northern Border Ports,Great Lakes,Buffalo Customs District ,All,All,January,Export,2019,6,2756915645,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Great Lakes,Buffalo Customs District ,All,All,January,Export,2019,7,0,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Great Lakes,Buffalo Customs District ,All,All,January,Export,2019,7,158213,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Atlantic,Charleston Customs District ,All,All,January,Export,2019,8,9322888,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Atlantic,Charleston Customs District ,All,All,January,Export,2019,8,12422016,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Continental,Charlotte Customs District ,All,All,January,Export,2019,9,157234,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Continental,Charlotte Customs District ,All,All,January,Export,2019,9,856832,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Great Lakes,Chicago Customs District ,All,All,January,Export,2019,10,232823,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Great Lakes,Chicago Customs District ,All,All,January,Export,2019,10,38835796,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Continental,Cleveland Customs District ,All,All,January,Export,2019,11,150152,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Continental,Cleveland Customs District ,All,All,January,Export,2019,11,24524715,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Great Lakes,Cleveland Customs District ,All,All,January,Export,2019,12,47736852,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Great Lakes,Cleveland Customs District ,All,All,January,Export,2019,12,481096103,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Great Lakes,Cleveland Ohio Customs District ,All,All,January,Export,2019,13,23798966,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Great Lakes,Cleveland Ohio Customs District ,All,All,January,Export,2019,13,123404727,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Pacific,Columbia-Snake Customs District ,All,All,January,Export,2019,14,10003388,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Pacific,Columbia-Snake Customs District ,All,All,January,Export,2019,14,4010251,All Partners (Canada and Mexico)
All,All,Shipment Weight (in kilograms),All,Non-Border Ports,Continental,Dallas/Ft Worth Customs District ,All,All,January,Export,2019,15,334497,All Partners (Canada and Mexico)
All,All,Shipment Value (in U.S. $),All,Non-Border Ports,Continental,Dallas/Ft Worth Customs District ,All,All,January,Export,2019,15,46519603,All Partners (Canada and Mexico)
