Acapulco,24
Amsterdam,3
Anchorage,4
Athens,6
Auckland,9
Baltimore,462
Barcelona,57
Beijing,3
Belfast,1
Boston,330
Bridgetown,55
Buenos,7
Caldera,43
Callao,10
Cape,465
Charleston,294
Charlotte,286
Cherbourg,1
Colon,2
Copenhagen,11
Cozumel,1
Curacao,1
Departure,1
Dover,16
Ensenada,17
Fort,4974
Freeport,2
Funchal,5
Galveston,1519
Genoa,5
Gloucester,2
Guayaquil,1
Gulfport,1
Halifax,1
Hamburg,5
Harwich,7
Honolulu,807
Houston,150
Incheon,1
Jacksonville,595
Kiel,1
Kobe,3
Le,1
Lisbon,30
London,17
Long,1269
Los,1679
Malaga,6
Manaus,20
Melbourne,1
Miami,5956
Mobile,504
Monte,1
Montreal,106
New,2587
Norfolk,145
Osaka,6
Papeete,27
Philadelphia,129
Philipsburg,1
Piraeus,2
Plymouth,1
Port,3884
Quebec,40
Reykjavik,2
Rio,8
Rome,37
Rotterdam,5
San,3451
Santa,11
Santiago,2
Santos,1
Savona,9
Seattle,1438
Seville,2
Seward,392
Shanghai,1
Singapore,2
Southampton,108
St.,11
Sydney,7
Tampa,1610
Tokyo,5
Valparaiso,28
Vancouver,1733
Venice,13
West,2
Whittier,339
Yokohama,2
