Back to Contents,Data 1: U.S. Residual Fuel Oil Wholesale/Resale Price by Refiners (Dollars per Gallon)
Sourcekey,EMA_EPPR_PWG_NUS_DPG
Date,U.S. Residual Fuel Oil Wholesale/Resale Price by Refiners (Dollars per Gallon)
Jan-1983,0.603
Feb-1983,0.585
Mar-1983,0.577
Apr-1983,0.577
May-1983,0.592
Jun-1983,0.602
Jul-1983,0.622
Aug-1983,0.638
Sep-1983,0.646
Oct-1983,0.647
Nov-1983,0.636
Dec-1983,0.623
Jan-1984,0.648
Feb-1984,0.675
Mar-1984,0.645
Apr-1984,0.662
May-1984,0.66
Jun-1984,0.672
Jul-1984,0.65
Aug-1984,0.636
Sep-1984,0.645
Oct-1984,0.651
Nov-1984,0.646
Dec-1984,0.646
Jan-1985,0.648
Feb-1985,0.65
Mar-1985,0.624
Apr-1985,0.603
May-1985,0.55
Jun-1985,0.524
Jul-1985,0.539
Aug-1985,0.532
Sep-1985,0.561
Oct-1985,0.549
Nov-1985,0.536
Dec-1985,0.551
Jan-1986,0.518
Feb-1986,0.387
Mar-1986,0.318
Apr-1986,0.28
May-1986,0.265
Jun-1986,0.262
Jul-1986,0.219
Aug-1986,0.234
Sep-1986,0.281
Oct-1986,0.276
Nov-1986,0.274
Dec-1986,0.304
Jan-1987,0.374
Feb-1987,0.371
Mar-1987,0.358
Apr-1987,0.371
May-1987,0.396
Jun-1987,0.42
Jul-1987,0.434
Aug-1987,0.429
Sep-1987,0.391
Oct-1987,0.388
Nov-1987,0.375
Dec-1987,0.339
Jan-1988,0.324
Feb-1988,0.322
Mar-1988,0.286
Apr-1988,0.302
May-1988,0.315
Jun-1988,0.31
Jul-1988,0.295
Aug-1988,0.306
Sep-1988,0.295
Oct-1988,0.256
Nov-1988,0.28
Dec-1988,0.298
Jan-1989,0.328
Feb-1989,0.332
Mar-1989,0.321
Apr-1989,0.381
May-1989,0.376
Jun-1989,0.355
Jul-1989,0.357
Aug-1989,0.344
Sep-1989,0.351
Oct-1989,0.369
Nov-1989,0.366
Dec-1989,0.421
Jan-1990,0.482
Feb-1990,0.381
Mar-1990,0.348
Apr-1990,0.334
May-1990,0.305
Jun-1990,0.271
Jul-1990,0.291
Aug-1990,0.445
Sep-1990,0.509
Oct-1990,0.577
Nov-1990,0.556
Dec-1990,0.486
Jan-1991,0.502
Feb-1991,0.334
Mar-1991,0.282
Apr-1991,0.287
May-1991,0.303
Jun-1991,0.297
Jul-1991,0.288
Aug-1991,0.279
Sep-1991,0.279
Oct-1991,0.295
Nov-1991,0.307
Dec-1991,0.289
Jan-1992,0.244
Feb-1992,0.256
Mar-1992,0.246
Apr-1992,0.274
May-1992,0.302
Jun-1992,0.325
Jul-1992,0.347
Aug-1992,0.347
Sep-1992,0.348
Oct-1992,0.374
Nov-1992,0.359
Dec-1992,0.306
Jan-1993,0.315
Feb-1993,0.309
Mar-1993,0.329
Apr-1993,0.333
May-1993,0.311
Jun-1993,0.302
Jul-1993,0.275
Aug-1993,0.272
Sep-1993,0.271
Oct-1993,0.287
Nov-1993,0.262
Dec-1993,0.248
Jan-1994,0.283
Feb-1994,0.338
Mar-1994,0.274
Apr-1994,0.275
May-1994,0.295
Jun-1994,0.335
Jul-1994,0.362
Aug-1994,0.352
Sep-1994,0.301
Oct-1994,0.316
Nov-1994,0.342
Dec-1994,0.341
Jan-1995,0.366
Feb-1995,0.354
Mar-1995,0.37
Apr-1995,0.365
May-1995,0.388
Jun-1995,0.387
Jul-1995,0.353
Aug-1995,0.331
Sep-1995,0.338
Oct-1995,0.341
Nov-1995,0.344
Dec-1995,0.406
Jan-1996,0.452
Feb-1996,0.401
Mar-1996,0.42
Apr-1996,0.437
May-1996,0.41
Jun-1996,0.374
Jul-1996,0.389
Aug-1996,0.39
Sep-1996,0.412
Oct-1996,0.45
Nov-1996,0.463
Dec-1996,0.46
Jan-1997,0.429
Feb-1997,0.393
Mar-1997,0.358
Apr-1997,0.361
May-1997,0.358
Jun-1997,0.367
Jul-1997,0.365
Aug-1997,0.383
Sep-1997,0.387
Oct-1997,0.42
Nov-1997,0.435
Dec-1997,0.356
Jan-1998,0.311
Feb-1998,0.283
Mar-1998,0.264
Apr-1998,0.303
May-1998,0.295
Jun-1998,0.279
Jul-1998,0.296
Aug-1998,0.265
Sep-1998,0.279
Oct-1998,0.282
Nov-1998,0.26
Dec-1998,0.233
Jan-1999,0.256
Feb-1999,0.219
Mar-1999,0.251
Apr-1999,0.304
May-1999,0.325
Jun-1999,0.326
Jul-1999,0.361
Aug-1999,0.427
Sep-1999,0.467
Oct-1999,0.448
Nov-1999,0.468
Dec-1999,0.472
Jan-2000,0.49
Feb-2000,0.539
Mar-2000,0.519
Apr-2000,0.482
May-2000,0.549
Jun-2000,0.6
Jul-2000,0.589
Aug-2000,0.539
Sep-2000,0.645
Oct-2000,0.638
Nov-2000,0.613
Dec-2000,0.579
Jan-2001,0.564
Feb-2001,0.559
Mar-2001,0.518
Apr-2001,0.483
May-2001,0.503
Jun-2001,0.479
Jul-2001,0.463
Aug-2001,0.457
Sep-2001,0.489
Oct-2001,0.424
Nov-2001,0.369
Dec-2001,0.363
Jan-2002,0.382
Feb-2002,0.359
Mar-2002,0.437
Apr-2002,0.512
May-2002,0.545
Jun-2002,0.534
Jul-2002,0.537
Aug-2002,0.584
Sep-2002,0.587
Oct-2002,0.607
Nov-2002,0.587
Dec-2002,0.641
Jan-2003,0.731
Feb-2003,0.873
Mar-2003,0.774
Apr-2003,0.569
May-2003,0.572
Jun-2003,0.58
Jul-2003,0.617
Aug-2003,0.634
Sep-2003,0.586
Oct-2003,0.601
Nov-2003,0.627
Dec-2003,0.623
Jan-2004,0.69
Feb-2004,0.697
Mar-2004,0.628
Apr-2004,0.646
May-2004,0.695
Jun-2004,0.701
Jul-2004,0.668
Aug-2004,0.684
Sep-2004,0.679
Oct-2004,0.786
Nov-2004,0.712
Dec-2004,0.626
Jan-2005,0.721
Feb-2005,0.722
Mar-2005,0.829
Apr-2005,0.896
May-2005,0.891
Jun-2005,0.905
Jul-2005,1.011
Aug-2005,1.151
Sep-2005,1.219
Oct-2005,1.247
Nov-2005,1.114
Dec-2005,1.196
Jan-2006,1.182
Feb-2006,1.194
Mar-2006,1.192
Apr-2006,1.18
May-2006,1.243
Jun-2006,1.169
Jul-2006,1.195
Aug-2006,1.246
Sep-2006,1.073
Oct-2006,1.025
Nov-2006,1.025
Dec-2006,1.043
Jan-2007,0.976
Feb-2007,1.073
Mar-2007,1.076
Apr-2007,1.15
May-2007,1.238
Jun-2007,1.28
Jul-2007,1.378
Aug-2007,1.367
Sep-2007,1.393
Oct-2007,1.536
Nov-2007,1.742
Dec-2007,1.765
Jan-2008,1.764
Feb-2008,1.714
Mar-2008,1.769
Apr-2008,1.88
May-2008,2.042
Jun-2008,2.274
Jul-2008,2.636
Aug-2008,2.486
Sep-2008,2.179
Oct-2008,1.592
Nov-2008,1.004
Dec-2008,0.876
Jan-2009,0.926
Feb-2009,0.954
Mar-2009,0.952
Apr-2009,1.017
May-2009,1.195
Jun-2009,1.381
Jul-2009,1.405
Aug-2009,1.572
Sep-2009,1.549
Oct-2009,1.56
Nov-2009,1.711
Dec-2009,1.685
Jan-2010,1.721
Feb-2010,1.666
Mar-2010,1.711
Apr-2010,1.748
May-2010,1.675
Jun-2010,1.612
Jul-2010,1.629
Aug-2010,1.642
Sep-2010,1.632
Oct-2010,1.712
Nov-2010,1.768
Dec-2010,1.865
Jan-2011,1.918
Feb-2011,2.086
Mar-2011,2.321
Apr-2011,2.448
May-2011,2.392
Jun-2011,2.402
Jul-2011,2.474
Aug-2011,2.392
Sep-2011,2.369
Oct-2011,2.406
Nov-2011,2.459
Dec-2011,2.371
Jan-2012,2.512
Feb-2012,2.654
Mar-2012,2.772
Apr-2012,2.67
May-2012,2.527
Jun-2012,2.211
Jul-2012,2.234
Aug-2012,2.483
Sep-2012,2.501
Oct-2012,2.409
Nov-2012,2.3
Dec-2012,2.268
Jan-2013,2.388
Feb-2013,2.415
Mar-2013,2.346
Apr-2013,2.246
May-2013,2.24
Jun-2013,2.234
Jul-2013,2.242
Aug-2013,2.277
Sep-2013,2.286
Oct-2013,2.255
Nov-2013,2.224
Dec-2013,2.209
Jan-2014,2.173
Feb-2014,2.207
Mar-2014,2.255
Apr-2014,2.226
May-2014,2.267
Jun-2014,2.293
Jul-2014,2.223
Aug-2014,2.136
Sep-2014,2.077
Oct-2014,1.866
Nov-2014,1.611
Dec-2014,1.287
Jan-2015,1.023
Feb-2015,1.126
Mar-2015,1.126
Apr-2015,1.114
May-2015,1.234
Jun-2015,1.233
Jul-2015,1.122
Aug-2015,0.918
Sep-2015,0.852
Oct-2015,0.836
Nov-2015,0.787
Dec-2015,0.633
Jan-2016,0.499
Feb-2016,0.504
Mar-2016,0.558
Apr-2016,0.616
May-2016,0.723
Jun-2016,0.825
Jul-2016,0.835
Aug-2016,0.815
Sep-2016,0.854
Oct-2016,0.938
Nov-2016,0.908
Dec-2016,1.03
Jan-2017,1.119
Feb-2017,1.121
Mar-2017,1.077
Apr-2017,1.039
May-2017,1.043
Jun-2017,0.991
Jul-2017,1.039
Aug-2017,1.079
Sep-2017,1.138
Oct-2017,1.176
Nov-2017,1.279
Dec-2017,1.249
Jan-2018,1.31
Feb-2018,1.319
Mar-2018,1.302
Apr-2018,1.348
May-2018,1.5
Jun-2018,1.553
Jul-2018,1.581
Aug-2018,1.549
Sep-2018,1.56
Oct-2018,1.7
Nov-2018,1.556
Dec-2018,1.293
Jan-2019,1.357
Feb-2019,1.508
Mar-2019,1.581
Apr-2019,1.577
May-2019,1.529
,
